Script started on Tue Mar  3 22:47:14 2015
[?1034hbash-3.2$ java Pizzeria.class [K[K[K[K[K[K[K
Wartezeit für Erzeuger? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Wie viele Verbraucher? 1
Wartezeit für Verbraucher 1? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Pizzeria JAV02 hat geöffnet.
E (  1sek):   10 |**********     |
E (  7sek):   11 |***********    |
E (  2sek):   12 |************   |
V1( 14sek):   13 |*************  |
V1(  2sek):   12 |************   |
V1(  4sek):   11 |***********    |
E ( 12sek):   10 |**********     |
E (  1sek):   11 |***********    |
E (  2sek):   12 |************   |
V1( 11sek):   13 |*************  |
E ( 14sek):   12 |************   |
V1( 12sek):   13 |*************  |
E (  7sek):   12 |************   |
V1(  9sek):   13 |*************  |
E (  7sek):   12 |************   |
V1( 13sek):   13 |*************  |
E ( 14sek):   12 |************   |
V1( 12sek):   13 |*************  |
E (  9sek):   12 |************   |
E (  8sek):   13 |*************  |
V1( 11sek):   14 |************** |
V1(  3sek):   13 |*************  |
E (  5sek):   12 |************   |
V1(  6sek):   13 |*************  |
V1(  6sek):   12 |************   |
E ( 14sek):   11 |***********    |
E (  7sek):   12 |************   |
V1( 11sek):   13 |*************  |
E ( 12sek):   12 |************   |
V1( 11sek):   13 |*************  |
V1(  7sek):   12 |************   |
E ( 12sek):   11 |***********    |
E (  5sek):   12 |************   |
V1( 13sek):   13 |*************  |
V1(  1sek):   12 |************   |
E (  7sek):   11 |***********    |
V1(  2sek):   12 |************   |
E (  9sek):   11 |***********    |
V1( 10sek):   12 |************   |
V1(  1sek):   11 |***********    |
V1(  1sek):   10 |**********     |
E ( 13sek):    9 |*********      |
V1( 10sek):   10 |**********     |
E (  8sek):    9 |*********      |
V1( 11sek):   10 |**********     |
V1(  2sek):    9 |*********      |
E (  7sek):    8 |********       |
V1(  5sek):    9 |*********      |
E (  6sek):    8 |********       |
E (  1sek):    9 |*********      |
V1( 10sek):   10 |**********     |
E ( 11sek):    9 |*********      |
E (  2sek):   10 |**********     |
V1( 14sek):   11 |***********    |
E ( 14sek):   10 |**********     |
V1( 12sek):   11 |***********    |
V1(  4sek):   10 |**********     |
E ( 10sek):    9 |*********      |
V1( 11sek):   10 |**********     |
E ( 10sek):    9 |*********      |
V1(  3sek):   10 |**********     |
E (  8sek):    9 |*********      |
V1( 11sek):   10 |**********     |
E (  7sek):    9 |*********      |
V1(  4sek):   10 |**********     |
V1(  9sek):    9 |*********      |
V1(  1sek):    8 |********       |
V1(  3sek):    7 |*******        |
E ( 13sek):    6 |******         |
E (  6sek):    7 |*******        |
E (  1sek):    8 |********       |
E (  5sek):    9 |*********      |
V1( 14sek):   10 |**********     |
V1(  1sek):    9 |*********      |
E ( 11sek):    8 |********       |
V1( 14sek):    9 |*********      |
E ( 13sek):    8 |********       |
